ID Value Bucket,Value Bucket,ID Year,Year,Property Value by Bucket,Property Value by Bucket Moe,Geography,ID Geography,Slug Geography,share
6,"$35,000 to $39,999",2015,"2015",546091,4633,"United States","01000US","united-states",0.007309272069496757
7,"$40,000 to $49,999",2015,"2015",1425946,9632,"United States","01000US","united-states",0.019085879954825517
8,"$50,000 to $59,999",2015,"2015",1769877,10010,"United States","01000US","united-states",0.023689298161926695
9,"$60,000 to $69,999",2015,"2015",2055529,12868,"United States","01000US","united-states",0.0275126685987145
10,"$70,000 to $79,999",2015,"2015",2374297,14562.000000000002,"United States","01000US","united-states",0.031779287237456655
11,"$80,000 to $89,999",2015,"2015",2794942,18284,"United States","01000US","united-states",0.037409500424770606
12,"$90,000 to $99,999",2015,"2015",2466857,16511,"United States","01000US","united-states",0.0330181764019963
13,"$100,000 to $124,999",2015,"2015",6275735,30900.999999999996,"United States","01000US","united-states",0.0839989206030922
14,"$125,000 to $149,999",2015,"2015",5528331,30159,"United States","01000US","united-states",0.07399513152429371
15,"$150,000 to $174,999",2015,"2015",6659967,36221,"United States","01000US","united-states",0.08914175618508656
16,"$175,000 to $199,999",2015,"2015",4584396,27035,"United States","01000US","united-states",0.0613608311404375
17,"$200,000 to $249,999",2015,"2015",7692487,42316,"United States","01000US","united-states",0.10296174149375635
18,"$250,000 to $299,999",2015,"2015",5945177,33560,"United States","01000US","united-states",0.07957449618161537
19,"$300,000 to $399,999",2015,"2015",7674805,38859,"United States","01000US","united-states",0.1027250729737975
20,"$400,000 to $499,999",2015,"2015",4148191,20530,"United States","01000US","united-states",0.055522351797114074
21,"$500,000 to $749,999",2015,"2015",4602188,21821,"United States","01000US","united-states",0.06159897197897995
22,"$750,000 to $999,999",2015,"2015",1700050,10155,"United States","01000US","united-states",0.022754683709762587
23,"$1,000,000 to $1,499,999",2015,"2015",910854,6270,"United States","01000US","united-states",0.012191520646905733
24,"$1,500,000 to $1,999,999",2015,"2015",313903,3613,"United States","01000US","united-states",0.004201502003203203
25,"$2,000,000 or More",2015,"2015",445742,3947,"United States","01000US","united-states",0.005966129364522805
0,"Less Than $10,000",2015,"2015",52,47,"Stillwater, OK","16000US4070300","stillwater-ok",0.007701421800947867
1,"$10,000 to $14,999",2015,"2015",28,32,"Stillwater, OK","16000US4070300","stillwater-ok",0.004146919431279621
2,"$15,000 to $19,999",2015,"2015",141,72,"Stillwater, OK","16000US4070300","stillwater-ok",0.02088270142180095
3,"$20,000 to $24,999",2015,"2015",151,104,"Stillwater, OK","16000US4070300","stillwater-ok",0.022363744075829382
4,"$25,000 to $29,999",2015,"2015",58,67,"Stillwater, OK","16000US4070300","stillwater-ok",0.008590047393364929
5,"$30,000 to $34,999",2015,"2015",14,23,"Stillwater, OK","16000US4070300","stillwater-ok",0.0020734597156398106
6,"$35,000 to $39,999",2015,"2015",0,20,"Stillwater, OK","16000US4070300","stillwater-ok",0
7,"$40,000 to $49,999",2015,"2015",68,44,"Stillwater, OK","16000US4070300","stillwater-ok",0.010071090047393365
8,"$50,000 to $59,999",2015,"2015",98,61,"Stillwater, OK","16000US4070300","stillwater-ok",0.014514218009478674
9,"$60,000 to $69,999",2015,"2015",80,54,"Stillwater, OK","16000US4070300","stillwater-ok",0.011848341232227487
10,"$70,000 to $79,999",2015,"2015",204,78,"Stillwater, OK","16000US4070300","stillwater-ok",0.030213270142180094
11,"$80,000 to $89,999",2015,"2015",198,97,"Stillwater, OK","16000US4070300","stillwater-ok",0.029324644549763034
12,"$90,000 to $99,999",2015,"2015",306,100,"Stillwater, OK","16000US4070300","stillwater-ok",0.045319905213270145
13,"$100,000 to $124,999",2015,"2015",954,179,"Stillwater, OK","16000US4070300","stillwater-ok",0.1412914691943128
14,"$125,000 to $149,999",2015,"2015",958,193,"Stillwater, OK","16000US4070300","stillwater-ok",0.14188388625592416
15,"$150,000 to $174,999",2015,"2015",791,174,"Stillwater, OK","16000US4070300","stillwater-ok",0.11715047393364929
16,"$175,000 to $199,999",2015,"2015",751,196,"Stillwater, OK","16000US4070300","stillwater-ok",0.11122630331753554
17,"$200,000 to $249,999",2015,"2015",803,183,"Stillwater, OK","16000US4070300","stillwater-ok",0.11892772511848342
18,"$250,000 to $299,999",2015,"2015",409,126.00000000000001,"Stillwater, OK","16000US4070300","stillwater-ok",0.06057464454976303
19,"$300,000 to $399,999",2015,"2015",403,125,"Stillwater, OK","16000US4070300","stillwater-ok",0.059686018957345974
20,"$400,000 to $499,999",2015,"2015",63,47,"Stillwater, OK","16000US4070300","stillwater-ok",0.009330568720379146
21,"$500,000 to $749,999",2015,"2015",178,79,"Stillwater, OK","16000US4070300","stillwater-ok",0.026362559241706163
22,"$750,000 to $999,999",2015,"2015",32,37,"Stillwater, OK","16000US4070300","stillwater-ok",0.004739336492890996
23,"$1,000,000 to $1,499,999",2015,"2015",12,18,"Stillwater, OK","16000US4070300","stillwater-ok",0.0017772511848341231
24,"$1,500,000 to $1,999,999",2015,"2015",0,20,"Stillwater, OK","16000US4070300","stillwater-ok",0
25,"$2,000,000 or More",2015,"2015",0,20,"Stillwater, OK","16000US4070300","stillwater-ok",0
