ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,"18 to 24 Years",6039,"2013",16741,1218,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.3624063731220505
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,"25 to 34 Years",6039,"2013",5259,758,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.1138459540200026
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",12,"35 to 44 Years",6039,"2013",3010,610,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.06515997748625363
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",15,"45 to 54 Years",6039,"2013",3645,651,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.07890635147421743
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",18,"55 to 59 Years",6039,"2013",1514,407,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.032774819240594014
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",21,"60 & 61 Years",6039,"2013",543,247.99999999999997,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.011754773347187946
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",24,"62 to 64 Years",6039,"2013",659,241,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.01426592198120968
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6039,"2013",2081,377,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.04504914058102784
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,"75 Years & Over",6039,"2013",1768,337,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.03827336883577954
3,"Foreign Born",0,"Under 5 Years",2013,"2013",42,51,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0009092089881802832
3,"Foreign Born",1,"5 to 17 Years",2013,"2013",146,98,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0031605836255790797
3,"Foreign Born",2,"18 to 24 Years",2013,"2013",1504,217,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0325583409100749
3,"Foreign Born",3,"25 to 34 Years",2013,"2013",1058,150,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.022903407368922372
3,"Foreign Born",4,"35 to 44 Years",2013,"2013",701,154,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.015175130969389964
3,"Foreign Born",5,"45 to 54 Years",2013,"2013",272,124,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.005888210590119929
3,"Foreign Born",6,"55 to 59 Years",2013,"2013",38,27,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0008226176559726371
3,"Foreign Born",7,"60 & 61 Years",2013,"2013",83,54.99999999999999,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0017967701433086547
3,"Foreign Born",8,"62 to 64 Years",2013,"2013",29,30.000000000000004,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0006277871585054336
3,"Foreign Born",9,"65 to 74 Years",2013,"2013",80,70,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0017318266441529204
3,"Foreign Born",10,"75 Years & Over",2013,"2013",35,41,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0007576741568169026
