ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",24,"62 to 64 Years",6057,"2019",1014,332,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.020299487508007686
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6057,"2019",2248,472,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.04500320307495195
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,"75 Years & Over",6057,"2019",2070,414,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.04143978219090327
3,"Foreign Born",0,"Under 5 Years",2019,"2019",42,38,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0008408071748878924
3,"Foreign Born",1,"5 to 17 Years",2019,"2019",184,115,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.003683536194746957
3,"Foreign Born",2,"18 to 24 Years",2019,"2019",2333,434.99999999999994,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.04670483664317745
3,"Foreign Born",3,"25 to 34 Years",2019,"2019",1357,149,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.02716607943625881
3,"Foreign Born",4,"35 to 44 Years",2019,"2019",626,182,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.012532030749519538
3,"Foreign Born",5,"45 to 54 Years",2019,"2019",317,182,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.006346092248558617
3,"Foreign Born",6,"55 to 59 Years",2019,"2019",62,52,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0012411915438821268
3,"Foreign Born",7,"60 & 61 Years",2019,"2019",59,49,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0011811338885329918
3,"Foreign Born",8,"62 to 64 Years",2019,"2019",24,17,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0004804612427930814
3,"Foreign Born",9,"65 to 74 Years",2019,"2019",167,84,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0033432094811018578
3,"Foreign Born",10,"75 Years & Over",2019,"2019",91,61,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0018217488789237669
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,"Under 5 Years",6054,"2018",2207,484,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.044561552284612435
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,"5 to 17 Years",6054,"2018",5451,831,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.11006117875098431
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,"18 to 24 Years",6054,"2018",17392,1340,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.3511619924485634
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,"25 to 34 Years",6054,"2018",5829,777,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.11769337936882912
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",12,"35 to 44 Years",6054,"2018",3703,623,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.07476729864518343
