ID Enrollment Status,Enrollment Status,ID Year,Year,Enrollment,University,ID University,Slug University,share
1,"Full time",2017,"2017",15126,"Rowan University","184782","rowan-university",0.8183293659381087
1,"Full time",2017,"2017",20805,"Ohio University-Main Campus","204857","ohio-university-main-campus",0.7084000136198032
1,"Full time",2017,"2017",19933,"Oklahoma State University-Main Campus","207388","oklahoma-state-university-main-campus",0.7880213480925085
1,"Full time",2017,"2017",8973,"South Dakota State University","219356","south-dakota-state-university",0.7169223394055608
1,"Full time",2017,"2017",9983,"Arizona State University-Downtown Phoenix","448886","arizona-state-university-downtown-phoenix",0.8707370257304841
2,"Part time",2017,"2017",4604,"University of Nevada-Reno","182290","university-of-nevada-reno",0.21258715426882763
2,"Part time",2017,"2017",3358,"Rowan University","184782","rowan-university",0.18167063406189138
2,"Part time",2017,"2017",8564,"Ohio University-Main Campus","204857","ohio-university-main-campus",0.2915999863801968
2,"Part time",2017,"2017",5362,"Oklahoma State University-Main Campus","207388","oklahoma-state-university-main-campus",0.2119786519074916
2,"Part time",2017,"2017",3543,"South Dakota State University","219356","south-dakota-state-university",0.2830776605944391
2,"Part time",2017,"2017",1482,"Arizona State University-Downtown Phoenix","448886","arizona-state-university-downtown-phoenix",0.1292629742695159
1,"Full time",2016,"2016",5122545,"Doctoral Universities","DOC","doctoral-universities",0.7803563969467882
2,"Part time",2016,"2016",1441821,"Doctoral Universities","DOC","doctoral-universities",0.21964360305321184
1,"Full time",2016,"2016",1309244,"Doctoral Universities: Higher Research Activity","16","doctoral-universities-higher-research-activity",0.7645649040763745
2,"Part time",2016,"2016",403160,"Doctoral Universities: Higher Research Activity","16","doctoral-universities-higher-research-activity",0.2354350959236255
1,"Full time",2016,"2016",16832,"University of Nevada-Reno","182290","university-of-nevada-reno",0.7882733105418442
1,"Full time",2016,"2016",14208,"Rowan University","184782","rowan-university",0.8178678332949574
1,"Full time",2016,"2016",20815,"Ohio University-Main Campus","204857","ohio-university-main-campus",0.7053780202650038
1,"Full time",2016,"2016",20229,"Oklahoma State University-Main Campus","207388","oklahoma-state-university-main-campus",0.7895168214815393
1,"Full time",2016,"2016",9001,"South Dakota State University","219356","south-dakota-state-university",0.7143650793650793
1,"Full time",2016,"2016",10166,"Arizona State University-Downtown Phoenix","448886","arizona-state-university-downtown-phoenix",0.8661497827383489
2,"Part time",2016,"2016",4521,"University of Nevada-Reno","182290","university-of-nevada-reno",0.21172668945815576
2,"Part time",2016,"2016",3164,"Rowan University","184782","rowan-university",0.1821321667050426
2,"Part time",2016,"2016",8694,"Ohio University-Main Campus","204857","ohio-university-main-campus",0.2946219797349961
2,"Part time",2016,"2016",5393,"Oklahoma State University-Main Campus","207388","oklahoma-state-university-main-campus",0.21048317851846068
2,"Part time",2016,"2016",3599,"South Dakota State University","219356","south-dakota-state-university",0.28563492063492063
2,"Part time",2016,"2016",1571,"Arizona State University-Downtown Phoenix","448886","arizona-state-university-downtown-phoenix",0.1338502172616512
1,"Full time",2015,"2015",5105931,"Doctoral Universities","DOC","doctoral-universities",0.7834890870126566
2,"Part time",2015,"2015",1410983,"Doctoral Universities","DOC","doctoral-universities",0.2165109129873434
1,"Full time",2015,"2015",1301683,"Doctoral Universities: Higher Research Activity","16","doctoral-universities-higher-research-activity",0.763078523018986
2,"Part time",2015,"2015",404148,"Doctoral Universities: Higher Research Activity","16","doctoral-universities-higher-research-activity",0.23692147698101396
1,"Full time",2015,"2015",16250,"University of Nevada-Reno","182290","university-of-nevada-reno",0.7775863719016174
1,"Full time",2015,"2015",13058,"Rowan University","184782","rowan-university",0.8082946456205509
1,"Full time",2015,"2015",20529,"Ohio University-Main Campus","204857","ohio-university-main-campus",0.7076037501723424
1,"Full time",2015,"2015",20204,"Oklahoma State University-Main Campus","207388","oklahoma-state-university-main-campus",0.7791747011183957
1,"Full time",2015,"2015",9090,"South Dakota State University","219356","south-dakota-state-university",0.7228053435114504
1,"Full time",2015,"2015",9528,"Arizona State University-Downtown Phoenix","448886","arizona-state-university-downtown-phoenix",0.8699780861943024
2,"Part time",2015,"2015",4648,"University of Nevada-Reno","182290","university-of-nevada-reno",0.2224136280983826
2,"Part time",2015,"2015",3097,"Rowan University","184782","rowan-university",0.19170535437944908
2,"Part time",2015,"2015",8483,"Ohio University-Main Campus","204857","ohio-university-main-campus",0.2923962498276575
2,"Part time",2015,"2015",5726,"Oklahoma State University-Main Campus","207388","oklahoma-state-university-main-campus",0.22082529888160432
2,"Part time",2015,"2015",3486,"South Dakota State University","219356","south-dakota-state-university",0.27719465648854963
